org,org index,tag,tag index
"American Red Cross
Greater Chesapeake and Potomac",1,Direct Service,1
Anne Arundel Medical Center,2,Health/Medical,9
Art with a Heart,3,Direct Service,1
Art with a Heart,3,Children,6
Baer School,4,Children,6
Baer School,4,Health/Medical,9
Baltimore Humane Society,5,Animals,5
Baltimore Hunger Project,6,Food Insecurity,3
Baltimore Hunger Project,6,Children,6
"Baltimore Saints Hockey 
Teresa Zinkhan",7,Health/Medical,9
"Baltimore Saints Hockey 
Teresa Zinkhan",7,Children,6
Baltimore VA Rehabilitation and Extended Care Center,8,Health/Medical,9
Baltimore VA Rehabilitation and Extended Care Center,8,Direct Service,1
Bedtime in a Box,9,Children,6
"Bennett Blazers Sports Program
 at Kennedy Krieger",10,Health/Medical,9
"Bennett Blazers Sports Program
 at Kennedy Krieger",10,Children,6
Be a Chef for a Day,11,Food Insecurity,3
Be a Chef for a Day,11,Children,6
Brightwood Center-Genesis Eldercare,12,Elderly,7
Brightwood Center-Genesis Eldercare,12,Health/Medical,9
Charm City Lacrosse,13,Health/Medical,9
Chesapeake Bay Foundation,14,Environmental,2
Chesapeake Habitat for Humanity,15,Housing Insecurity,4
Chesapeake Region Accessible Boating,16,Health/Medical,9
Chesapeake Region Accessible Boating,16,Children,6
Community Art Center - Art Camp,17,Children,6
First Fruits Farm,18,Food Insecurity,3
First Fruits Farm,18,Direct Service,1
First Tee,19,Children,6
GBMC,20,Health/Medical,9
GBMC,20,Over 16,8
Have a Nice Day Project,21,Direct Service,1
Helping Up Mission,22,Housing Insecurity,4
Helping Up Mission,22,Health/Medical,9
Happy Helpers,23,Housing Insecurity,4
Happy Helpers,23,Food Insecurity,3
Irvine Nature Center,24,Environmental,2
Irvine Nature Center,24,Children,6
Jewish Family Services,25,Direct Service,1
Living Classrooms,26,Direct Service,1
Living Classrooms,26,Children,6
Maryland Council for Special Equestrians,27,Health/Medical,9
Maryland Council for Special Equestrians,27,Animals,5
Maryland Therapeutic Riding,28,Health/Medical,9
Maryland Therapeutic Riding,28,Animals,5
"Meals on Wheels of Central Maryland, Inc.",29,Food Insecurity,3
"Meals on Wheels of Central Maryland, Inc.",29,Elderly,7
"My Brother’s Keeper
Catholic Charities of Baltimore",30,Food Insecurity,3
"My Brother’s Keeper
Catholic Charities of Baltimore",30,Children,6
My Sister’s Circle Inc.,31,Children,6
North Oaks Health Center,32,Elderly,7
North Oaks Health Center,32,Health/Medical,9
Our Daily Bread,33,Food Insecurity,3
Our Daily Bread,33,Housing Insecurity,4
Paul’s Place,34,Food Insecurity,3
Paul’s Place,34,Direct Service,1
Pickersgill Retirement Community,35,Elderly,7
Playworks,36,Children,6
Project Plase,37,Housing Insecurity,4
"Reading Partners
Various Elementary Schools in Baltimore City",38,Children,6
Roland Park Place,39,Elderly,7
Ronald McDonald House,40,Health/Medical,9
Ronald McDonald House,40,Children,6
Rose of Sharon Equestrian School Inc,41,Health/Medical,9
Rose of Sharon Equestrian School Inc,41,Animals,5
Share Baby,42,Children,6
Sinai Hospital,43,Health/Medical,9
Special Olympics,44,Health/Medical,9
Special Olympics,44,Children,6
Springhouse Assisted Living,45,Elderly,7
St. Vincent de Paul Baltimore,46,Food Insecurity,3
St. Vincent de Paul Baltimore,46,Housing Insecurity,4
The Arc Baltimore,47,Health/Medical,9
The Arc of Howard County,48,Health/Medical,9
The Baltimore Station,49,Housing Insecurity,4
The Baltimore Station,49,Health/Medical,9
"The Believe in Tomorrow Children’s House
At Johns Hopkins Hospital",50,Housing Insecurity,4
"The Believe in Tomorrow Children’s House
At Johns Hopkins Hospital",50,Children,6
The Family Tree,51,Children,6
The Friendship Circle,52,Health/Medical,9
The Friendship Circle,52,Children,6
Village Learning Place,53,Children,6
Village Learning Place,53,Direct Service,1
